abzeichen;satz;station;aufgabe_id;aufgabe;Name;Frage 1;Frage 2 ;Frage 3;Frage 4;Frage 5;Frage 6;Frage 7;Frage 8;Frage 9;Frage 10;Frage 11;min_punkte
Gold;B;4;132;15;Bennenen verschiedener Baustoffe;Maueziegel;Kalksandstein;Porenbetonstein (Gasbeton);Leichtbetonstein oder Mehrkammerstein;;;;;;;;3
Gold;B;4;133;16;Stein-Werkzeuge ;Maurerbeil ;Gipserbeil ;Handschutz ;Spitzmeißel ;Fäustel ;Kneifzange ;Rollgabelschlüssel ;Flachmeißel ;;;;6
Gold;B;4;134;17;Erklären der Handhabung des ABC-Feuerlöschers;Sicherung entfernt *;Treibgasbehälter ausgelöst*;Brand gebückt angegangen*;Windrichtung/Abstand beachtet*;Löschstrahl in Flammen (nicht Rauch)*;Löschangriff mit kurzen Pulverstößen;;;;;;5
Gold;B;4;135;18;Aufzählen der Hilfsmittel der Kartenkunde;Karte(n)*;Planzeiger;Kompass;GPS-Empfänger;;;;;;;;2
Gold;B;4;136;19;Bestimmen eines Punktes durch Vorgabe (Koordinate);Punkt richtig bestimmt*;;;;;;;;;;;1
Gold;B;5;137;20;Absetzen eines Notrufs;Wer meldet ;Wo*;Was*;Wie viele Verletzte ;Warten auf Rückfragen*;Welche Verletzungen ;;;;;;5
Gold;B;5;138;21;Herstellen einer stabilen Seitenlage ;Seitenlage richtig durchgeführt*;Nicht über Verletzten gestiegen*;;;;;;;;;;2
Gold;B;5;139;22;Druckverband ;Handschuhe getragen ;Wundauflage aufgelegt *;Mit 2-3 Gängen fixiert *;Druckpolster aufgelegt *;Weitere Gänge drüber *;Ende fixiert *;;;;;;5
Gold;B;6;140;23;Strom & Licht ;Stativbeine gespreizt *;Leuchte aufgesteckt/ausgerichtet und gesichert*;Teleskoprohre auf maximale Höhe und gesichert*;Handschuhe getragen *;Stativ abgespannt *;Seile markiert mit Flatterband;Leitung geprüft ;Voll abgerollt *;Stolperfrei in Buchten *;Kappen verbunden ;Verbr. zu Erzeuger ;9
Gold;B;6;141;24;Stromerzeuger ;Abgasschlauch dran*;Kraftstoff geprüft ;Ölstand geprüft ;Choke/Erklärung Start *;Kraftstoff Hahn offen*;Motor gestartet *;Last erst bei Nenndrehzahl *;Stecker verriegelt ;Reihenfolge korrekt *;;;7
Gold;C;1;142;1;Herstellen eines Bockschnürbundes mit einer Arbeitsleine (kurz);"Am „tragenden“ Holz mit Mastwurf
begonnen (bei Beginn mit Zopfende
zusätzlicher Halbschlag ausgeführt)
*";Leinenüberhang mind. 10 x Leinendurchmesser;Eng und fest gebunden*;Entgegen der Lastrichtung, d. h. nach oben gebunden*;Abschluss am waagerechten Holz mit Mastwurf (bei Abschluss mit Zopfende zusätzlichen Halbschlag ausgeführt);;;;;;;4
